fecha,valor
2011-07-06,572
2011-07-07,570
2011-07-08,588
2011-07-11,608
2011-07-12,614
2011-07-13,621
2011-07-14,628
2011-07-15,623
2011-07-18,628
2011-07-19,621
2011-07-20,614
2011-07-21,593
2011-07-22,591
2011-07-25,577
2011-07-26,582
2011-07-27,577
2011-07-28,581
2011-07-29,592
2011-08-01,593
2011-08-02,611
2011-08-03,619
2011-08-04,648
2011-08-05,689
2011-08-08,756
2011-08-09,741
2011-08-10,754
2011-08-11,737
2011-08-12,716
2011-08-15,709
2011-08-16,728
2011-08-17,729
2011-08-18,759
2011-08-19,750
2011-08-22,755
2011-08-23,763
2011-08-24,746
2011-08-25,749
2011-08-26,758
2011-08-29,741
2011-08-30,749
2011-08-31,738
2011-09-01,757
2011-09-02,782
2011-09-06,799
2011-09-07,790
2011-09-08,795
2011-09-09,812
2011-09-12,824
2011-09-13,841
2011-09-14,864
2011-09-15,850
2011-09-16,836
2011-09-19,868
2011-09-20,876
2011-09-21,918
2011-09-22,991
2011-09-23,983
2011-09-26,984
2011-09-27,928
2011-09-28,977
2011-09-29,967
2011-09-30,993
2011-10-03,1018
2011-10-04,1017
2011-10-05,1013
2011-10-06,976
2011-10-07,963
2011-10-11,935
2011-10-12,883
2011-10-13,900
2011-10-14,861
2011-10-17,878
2011-10-18,888
2011-10-19,886
2011-10-20,912
2011-10-21,899
2011-10-24,888
2011-10-25,881
2011-10-26,874
2011-10-27,789
2011-10-28,800
2011-10-31,835
2011-11-01,850
2011-11-02,847
2011-11-03,809
2011-11-04,818
2011-11-07,821
2011-11-08,807
2011-11-09,848
2011-11-10,846
2011-11-14,849
2011-11-15,855
2011-11-16,872
2011-11-17,898
2011-11-18,912
2011-11-21,955
2011-11-22,970
2011-11-23,1003
2011-11-25,1003
2011-11-28,982
2011-11-29,974
2011-11-30,941
2011-12-01,934
2011-12-02,932
2011-12-05,929
2011-12-06,900
2011-12-07,905
2011-12-08,914
2011-12-09,895
2011-12-12,909
2011-12-13,919
2011-12-14,938
2011-12-15,949
2011-12-16,960
2011-12-19,961
2011-12-20,944
2011-12-21,943
2011-12-22,927
2011-12-23,918
2011-12-27,915
2011-12-28,922
2011-12-29,925
2011-12-30,925
2012-01-03,900
2012-01-04,881
2012-01-05,873
2012-01-06,884
2012-01-09,870
2012-01-10,869
2012-01-11,888
2012-01-12,891
2012-01-13,894
2012-01-17,888
2012-01-18,859
2012-01-19,837
2012-01-20,821
2012-01-23,796
2012-01-24,806
2012-01-25,789
2012-01-26,798
2012-01-27,810
2012-01-30,825
2012-01-31,840
2012-02-01,824
2012-02-02,828
2012-02-03,808
2012-02-06,813
2012-02-07,810
2012-02-08,820
2012-02-09,844
2012-02-10,858
2012-02-13,835
2012-02-14,844
2012-02-15,844
2012-02-16,829
2012-02-17,808
2012-02-21,800
2012-02-22,797
2012-02-23,798
2012-02-24,800
2012-02-27,817
2012-02-28,829
2012-02-29,843
2012-03-01,818
2012-03-02,811
2012-03-05,820
2012-03-06,835
2012-03-07,834
2012-03-08,816
